,alternativeSpellings,createdAt,department,id,name,updatedAt
102,,2016-03-24T08:35:22.571Z,106,5393,Dijonsinappi,2016-12-16T09:12:42.712Z
103,,2016-03-24T08:35:23.277Z,105,5395,"Dippi, guacamole",2016-12-16T09:12:44.909Z
104,,2016-03-24T08:35:23.600Z,105,5396,"Dippi, juusto",2016-12-16T09:12:45.269Z
105,,2016-03-24T08:35:24.308Z,109,5398,"Dippijauhe, American",2016-12-16T09:12:46.351Z
106,,2016-03-24T08:35:24.947Z,109,5400,"Dippijauhe, taco",2016-12-16T09:12:52.524Z
107,,2016-03-24T08:35:25.265Z,109,5401,"Dippijauhe, valkosipuli",2016-12-16T09:12:55.092Z
108,,2016-03-24T08:35:25.585Z,104,5402,Edam,2016-12-16T09:13:02.768Z
109,,2016-03-24T08:35:25.965Z,104,5403,"Edam, kevyt",2016-12-16T09:13:03.127Z
110,,2016-03-24T08:35:26.347Z,104,5404,"Edam, viipale",2016-12-16T09:13:03.488Z
111,,2016-03-24T08:35:27.005Z,106,5406,"Ekstra neitsytoliiviöljy, Italia",2016-12-16T09:13:05.712Z
112,,2016-03-24T08:35:27.325Z,106,5407,"Ekstra neitsytoliiviöljy, Kreikka",2016-12-16T09:13:06.082Z
113,,2016-03-24T08:35:27.963Z,106,5409,"Elintarvikeväri, keltainen",2016-12-16T09:13:08.247Z
114,,2016-03-24T08:35:28.285Z,106,5410,"Elintarvikeväri, punainen",2016-12-16T09:13:08.977Z
115,,2016-03-24T08:35:29.273Z,104,5413,Emmental,2016-12-16T09:13:10.115Z
116,,2016-03-24T08:35:29.593Z,104,5414,"Emmental, kevyt",2016-12-16T09:13:10.483Z
117,,2016-03-24T08:35:30.235Z,104,5416,"Emmental, mustaleima",2016-12-16T09:13:10.849Z
118,,2016-03-24T08:35:30.555Z,104,5417,"Emmental, punaleima",2016-12-16T09:13:11.567Z
119,,2016-03-24T08:35:30.873Z,100,5418,Endiivi,2016-12-16T09:13:14.817Z
120,,2016-03-24T08:35:31.531Z,106,5420,Etikka,2016-12-16T09:13:20.299Z
121,,2016-03-24T08:35:31.850Z,111,5421,Eväspussi,2016-12-16T09:13:20.670Z
122,[],2016-03-24T08:35:32.174Z,107,5422,"Falafelpyörykkä, pakaste",2016-12-16T09:13:22.833Z
123,,2016-03-24T08:35:32.493Z,105,5423,Farfalle,2016-12-16T09:13:23.193Z
124,,2016-03-24T08:35:34.501Z,109,5429,Fazermint,2016-12-16T09:13:24.279Z
125,,2016-03-24T08:35:35.141Z,106,5431,Fenkolinsiemen,2016-12-16T09:13:25.043Z
126,,2016-03-24T08:35:35.813Z,107,5433,"Filotaikina, pakaste",2016-12-16T09:13:27.968Z
127,,2016-03-24T08:35:37.132Z,106,5437,"Fondi, häränliha",2016-12-16T09:13:31.977Z
128,,2016-03-24T08:35:36.813Z,106,5436,"Fondi, hummeri",2016-12-16T09:13:32.337Z
129,,2016-03-24T08:35:37.450Z,106,5438,"Fondi, kala",2016-12-16T09:13:32.701Z
130,,2016-03-24T08:35:37.769Z,106,5439,"Fondi, kana",2016-12-16T09:13:33.061Z
131,,2016-03-24T08:35:38.125Z,106,5440,"Fondi, kasvis",2016-12-16T09:13:34.140Z
132,,2016-03-24T08:35:39.466Z,100,5444,Friseesalaatti,2016-12-16T09:13:36.680Z
133,,2016-03-24T08:35:39.785Z,105,5445,Fusilli,2016-12-16T09:13:37.404Z
134,,2016-03-24T08:35:40.171Z,105,5446,"Fusilli, gluteeniton",2016-12-16T09:13:37.766Z
135,,2016-03-24T08:35:40.491Z,105,5447,"Fusilli, täysjyvä",2016-12-16T09:13:38.855Z
136,,2016-03-24T08:35:41.513Z,108,5450,Glögi,2016-12-16T09:13:41.107Z
137,,2016-03-24T08:35:42.069Z,108,5451,"Glögi, tiiviste",2016-12-16T09:13:41.833Z
138,,2016-03-24T08:35:43.352Z,104,5454,Gorgonzola,2016-12-16T09:13:44.430Z
139,,2016-03-24T08:35:43.672Z,104,5455,Gouda,2016-12-16T09:13:44.789Z
140,,2016-03-24T08:35:44.382Z,102,5457,"Graavisiika, viipale",2016-12-16T09:13:50.628Z
141,,2016-03-24T08:35:44.701Z,106,5458,Grahamjauho,2016-12-16T09:13:51.001Z
142,,2016-03-24T08:35:45.134Z,106,5459,"Grahamjauho, luomu",2016-12-16T09:13:51.727Z
143,,2016-03-24T08:35:45.453Z,100,5460,Granaattiomena,2016-12-16T09:13:52.857Z
144,,2016-03-24T08:35:45.771Z,100,5461,Greippi,2016-12-16T09:14:04.858Z
145,,2016-03-24T08:35:46.157Z,100,5462,"Greippi, luomu",2016-12-16T09:14:05.218Z
146,,2016-03-24T08:35:46.475Z,104,5463,Greve,2016-12-16T09:14:05.577Z
147,,2016-03-24T08:35:46.796Z,106,5464,Grillaus- ja yleismaustesuola,2016-12-16T09:14:07.019Z
148,,2016-03-24T08:35:47.181Z,106,5465,Grillauskastike,2016-12-16T09:14:07.378Z
149,,2016-03-24T08:35:47.821Z,106,5467,Grillausmauste,2016-12-16T09:14:08.100Z
150,,2016-03-24T08:35:48.212Z,111,5468,Grillialusta,2016-12-16T09:14:09.586Z
151,,2016-03-24T08:35:49.171Z,104,5471,Grillijuusto,2016-12-16T09:14:09.948Z
152,,2016-03-24T08:35:49.492Z,102,5472,Grillimakkara,2016-12-16T09:14:11.746Z
